i;cell0;cell1;cell2;cell3;cell4;cell5;cell6;cell7;cell8;cell9;cell10;cell11;cell12;cell13;cell14;cell15;cell16;cell17;cell18;cell19;cell20;cell21;cell22;cell23;cell24;cell25;cell26;cell27;cell28;cell29;cell30;cell31;cell32;cell33;cell34;cell35;cell36;cell37;cell38;cell39;cell40;cell41;cell42;cell43;cell44;cell45;cell46;cell47;cell48;cell49;cell50;cell51;cell52;cell53;cell54;cell55;cell56;cell57;cell58;cell59;cell60;cell61;cell62;cell63;cell64;cell65;cell66;cell67;cell68;cell69;cell70;cell71;cell72;cell73;cell74;cell75;cell76;cell77;cell78;cell79;cell80;forced_board;winner;confidence
0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;O; ; ;X; ; ;X;O;O; ; ; ;O; ; ; ;X;X; ;O;O; ; ;O;X; ;O; ; ;O; ; ; ; ; ;X; ; ; ;X; ; ; ; ; ; ;X;O;X;X;X;X; ;X; ; ; ; ; ; ;O; ;X; ;O;O; ;0;O;102.5
0;O; ; ; ; ; ; ; ; ; ; ; ; ; ;O; ; ;X; ; ;X;O;O; ; ; ;O; ; ; ;X;X; ;O;O; ; ;O;X; ;O; ; ;O; ; ; ; ; ;X; ; ; ;X; ; ; ; ; ; ;X;O;X;X;X;X; ;X; ; ; ; ; ; ;O; ;X; ;O;O; ;0;O;-98.0
0;O; ; ; ; ; ;X; ; ; ; ; ; ; ;O; ; ;X; ; ;X;O;O; ; ; ;O; ; ; ;X;X; ;O;O; ; ;O;X; ;O; ; ;O; ; ; ; ; ;X; ; ; ;X; ; ; ; ; ; ;X;O;X;X;X;X; ;X; ; ; ; ; ; ;O; ;X; ;O;O; ;6;O;103.0
0;O; ; ; ; ; ;X; ; ; ; ; ; ; ;O; ; ;X; ; ;X;O;O; ; ; ;O; ; ; ;X;X; ;O;O; ; ;O;X; ;O; ; ;O; ; ; ; ; ;X; ; ; ;X;O; ; ; ; ; ;X;O;X;X;X;X; ;X; ; ; ; ; ; ;O; ;X; ;O;O; ;0;O;-99.0
0;O; ; ; ; ; ;X; ;X; ; ; ; ; ;O; ; ;X; ; ;X;O;O; ; ; ;O; ; ; ;X;X; ;O;O; ; ;O;X; ;O; ; ;O; ; ; ; ; ;X; ; ; ;X;O; ; ; ; ; ;X;O;X;X;X;X; ;X; ; ; ; ; ; ;O; ;X; ;O;O; ;8;O;159.5
0;O; ; ; ; ; ;X; ;X; ; ; ; ; ;O; ; ;X; ; ;X;O;O; ; ; ;O; ; ; ;X;X; ;O;O; ; ;O;X; ;O; ; ;O; ; ; ; ; ;X; ; ; ;X;O; ; ; ; ; ;X;O;X;X;X;X; ;X; ; ; ; ; ; ;O; ;X; ;O;O;O;None;O;-157.0
0;O; ; ; ; ; ;X;X;X; ; ; ; ; ;O; ; ;X; ; ;X;O;O; ; ; ;O; ; ; ;X;X; ;O;O; ; ;O;X; ;O; ; ;O; ; ; ; ; ;X; ; ; ;X;O; ; ; ; ; ;X;O;X;X;X;X; ;X; ; ; ; ; ; ;O; ;X; ;O;O;O;None;O;159.5
0;O; ; ; ; ; ;X;X;X; ; ; ; ; ;O; ; ;X; ; ;X;O;O;O; ; ;O; ; ; ;X;X; ;O;O; ; ;O;X; ;O; ; ;O; ; ; ; ; ;X; ; ; ;X;O; ; ; ; ; ;X;O;X;X;X;X; ;X; ; ; ; ; ; ;O; ;X; ;O;O;O;5;O;-152.0
0;O; ; ; ; ; ;X;X;X; ; ; ; ; ;O; ; ;X; ; ;X;O;O;O; ; ;O; ; ; ;X;X; ;O;O; ; ;O;X; ;O; ; ;O; ;X; ; ; ;X; ; ; ;X;O; ; ; ; ; ;X;O;X;X;X;X; ;X; ; ; ; ; ; ;O; ;X; ;O;O;O;None;O;161.0
0;O; ; ; ; ; ;X;X;X; ; ; ; ; ;O; ; ;X; ; ;X;O;O;O; ; ;O; ; ; ;X;X; ;O;O; ; ;O;X; ;O; ; ;O; ;X; ; ; ;X; ; ; ;X;O;O; ; ; ; ;X;O;X;X;X;X; ;X; ; ; ; ; ; ;O; ;X; ;O;O;O;1;O;-157.5
0;O; ; ; ; ; ;X;X;X; ; ; ;X; ;O; ; ;X; ; ;X;O;O;O; ; ;O; ; ; ;X;X; ;O;O; ; ;O;X; ;O; ; ;O; ;X; ; ; ;X; ; ; ;X;O;O; ; ; ; ;X;O;X;X;X;X; ;X; ; ; ; ; ; ;O; ;X; ;O;O;O;3;O;10000
0;O; ; ; ; ; ;X;X;X; ; ; ;X; ;O; ; ;X; ; ;X;O;O;O; ; ;O; ; ; ;X;X; ;O;O;O; ;O;X; ;O; ; ;O; ;X; ; ; ;X; ; ; ;X;O;O; ; ; ; ;X;O;X;X;X;X; ;X; ; ; ; ; ; ;O; ;X; ;O;O;O;None;O;-10000
0;O; ; ; ; ; ;X;X;X; ; ; ;X; ;O; ; ;X; ; ;X;O;O;O; ; ;O; ; ; ;X;X; ;O;O;O; ;O;X; ;O; ; ;O; ;X; ; ; ;X; ; ; ;X;O;O;X; ; ; ;X;O;X;X;X;X; ;X; ; ; ; ; ; ;O; ;X; ;O;O;O;None;O;10000
0;O; ; ; ; ; ;X;X;X; ;O; ;X; ;O; ; ;X; ; ;X;O;O;O; ; ;O; ; ; ;X;X; ;O;O;O; ;O;X; ;O; ; ;O; ;X; ; ; ;X; ; ; ;X;O;O;X; ; ; ;X;O;X;X;X;X; ;X; ; ; ; ; ; ;O; ;X; ;O;O;O;1;O;-10000
